"Gene1","Gene2","Weight"
"ENSG00000204003","GRAPL",0.272911848278532
"SEMA3G","GRAPL",0.254968063186258
"FCN3","ENSG00000237004",0.282134721954477
"COL17A1","ENSG00000237004",0.279798861555644
"LCN6","ENSG00000237004",0.256030230702154
"ENSG00000204003","ENSG00000237004",0.291075746989409
"SEMA3G","ENSG00000237004",0.285223677402044
"TLL1","ENSG00000237004",0.269758145277522
"ENSG00000226197","ENSG00000237004",0.267247083887008
"UBASH3A","TRBC1",0.253635027226959
"CXCR3","TRBC1",0.252507979816514
"ENSG00000235576","TRBC1",0.258387993413013
"CD8B","TRBC1",0.254425016369428
"ENSG00000277489","KRT222",0.257263185989476
"TUBAL3","KRT222",0.283105959494349
"ENSG00000205018","KRT222",0.25618715073008
"LCN10","KRT222",0.300441922925285
"LINC01117","KRT222",0.262727430549236
"SCNN1B","KRT222",0.262475203837173
"EFCC1","KRT222",0.287193459661479
"HOXD1","KRT222",0.252351569776603
"GPR182","KRT222",0.289380915990563
"LYPD2","KRT222",0.278452949104986
"ENSG00000227160","KRT222",0.257880801482992
"GDF3","KRT222",0.266566151173025
"MYCN","KRT222",0.287973381531281
"ENSG00000258691","KRT222",0.251136848561978
"AVPR2","KRT222",0.27980989246593
"ENSG00000249772","KRT222",0.284798322567772
"ENSG00000214578","KRT222",0.276825725091777
"N4BP3","KRT222",0.277548841112372
"ENSG00000259124","KRT222",0.289126072760653
"FCN3","KRT222",0.327426448053481
"ENSG00000226252","KRT222",0.264629118207687
"DHH","KRT222",0.268375921797917
"TPO","KRT222",0.285941646663136
"TFF3","KRT222",0.308796116472417
"COL17A1","KRT222",0.295452005602602
"LCN6","KRT222",0.317703327355439
"ENSG00000204003","KRT222",0.360678791202143
"SEMA3G","KRT222",0.324026799584854
"HAGLR","KRT222",0.294873810148357
"ADAMTS18","KRT222",0.272759651524892
"ENSG00000226363","KRT222",0.305691590102137
"TLL1","KRT222",0.310477467490841
"ENSG00000226197","KRT222",0.30806731485628
"ENSG00000237004","KRT222",0.272607768312917
"FCN3","CBX2",0.270892080386096
"ENSG00000204003","CBX2",0.284328639893738
"KRT222","CBX2",0.265453497767934
"FCN3","ENSG00000278648",0.262140020181333
"ENSG00000204003","ENSG00000278648",0.268769061167698
"SEMA3G","ENSG00000278648",0.252654884862463
"KRT222","ENSG00000278648",0.261653307812161
