Regulator	Target	MI
TRPC5	VN1R103P	1.3792922544726756
TRPC5	LIPN	1.2293362159076602
TRPC5	ENSG00000218313	1.3792922544726756
TRPC5	ENSG00000232486	1.2293362159076602
TRPC5	ENSG00000230684	1.2293362159076602
TRPC5	ENSG00000233189	1.3792922544726756
TRPC5	ENSG00000271993	1.3792922544726756
TRPC5	TRPM5	1.3792922544726756
TRPC5	ENSG00000275981	1.3792922544726756
TRPC5	ENSG00000279613	1.3792922544726756
TRPC5	MTCO1P15	1.3792922544726756
ENSG00000237848	ENSG00000260953	1.3792922544726756
ENSG00000280110	ENSG00000228382	1.2293362159076602
ENSG00000280110	ENSG00000263033	1.2293362159076602
VPS26BP1	ENSG00000226530	1.2293362159076602
ENSG00000271888	DAO	1.2293362159076602
SLC24A3-AS1	ENSG00000255847	1.2293362159076602
SLC24A3-AS1	ENSG00000248491	1.2293362159076602
SLC24A3-AS1	ENSG00000257761	1.3792922544726756
SLC24A3-AS1	TMPRSS11D	1.3792922544726756
ENSG00000256250	LINCR-0001	1.2293362159076602
ENSG00000256250	TRPC3	1.2293362159076602
ENSG00000256250	ENSG00000256050	1.3792922544726756
ENSG00000256250	LOC102724323	1.3792922544726756
ENSG00000256250	CLCN1	1.3792922544726756
ENSG00000256250	ENSG00000229245	1.2293362159076602
ENSG00000256250	IGHG3	1.3792922544726756
ENSG00000256250	EPGN	1.3792922544726756
ENSG00000256250	CLEC4OP	1.3792922544726756
ENSG00000256250	ENSG00000275966	1.2293362159076602
ENSG00000256250	RN7SL521P	1.2293362159076602
ENSG00000256250	ENSG00000224207	1.3792922544726756
ENSG00000256250	ZBTB44-DT	1.3792922544726756
ENSG00000256250	ENSG00000279568	1.2293362159076602
ENSG00000256250	LOC729558	1.2293362159076602
ENSG00000256250	MIR5188	1.3792922544726756
LINC02421	KRT8P28	1.2293362159076602
C19orf81	SLAMF9	1.2293362159076602
RN7SL800P	ENSG00000226530	1.2293362159076602
MIR4648	SNORD16	1.2293362159076602
ENSG00000271734	ENSG00000263508	1.3792922544726756
ENSG00000271734	NECTIN1-DT	1.2293362159076602
ENSG00000271734	LINC02901	1.2293362159076602
ENSG00000278000	C9orf152	1.2293362159076602
ENSG00000278000	WNT11	1.2293362159076602
ENSG00000278000	ENSG00000279041	1.3792922544726756
ENSG00000278000	LINC00545	1.2293362159076602
ENSG00000278000	TMEM74	1.3792922544726756
ENSG00000278000	TBC1D3D	1.2293362159076602
ENSG00000278000	ANKRD61	1.2293362159076602
ENSG00000278000	LOC100422317	1.2293362159076602
KCNJ10	ERCC-00137	1.3792922544726756
KCNJ10	LAMP5-AS1	1.2293362159076602
ENSG00000278493	ENSG00000274943	1.2293362159076602
ENSG00000260500	ASCL1	1.3792922544726756
ENSG00000249840	CLEC4G	1.2293362159076602
ENSG00000267257	PROK2	1.2293362159076602
ENSG00000267257	ERCC-00138	1.2293362159076602
LOC100421569	LOC105375743	1.2293362159076602
LOC100421569	ENSG00000241537	1.3792922544726756
LOC100421569	ENSG00000272386	1.2293362159076602
LOC100421569	KARS1P1	1.3792922544726756
LOC100421569	ENSG00000223414	1.3792922544726756
LOC100421569	ENSG00000235347	1.3792922544726756
LOC100421569	ENSG00000249258	1.3792922544726756
LOC340357	ENSG00000232963	1.2293362159076602
LOC340357	THEM5	1.2293362159076602
ENSG00000279229	TRPC5	1.3792922544726756
ENSG00000279229	CHRNA4	1.3792922544726756
ENSG00000279229	CTNND2	1.3792922544726756
ENSG00000279229	ENSG00000259251	1.3792922544726756
ENSG00000279229	ENSG00000227383	1.3792922544726756
ENSG00000279229	LOC100996333	1.3792922544726756
ENSG00000279229	ENSG00000266588	1.3792922544726756
ENSG00000279229	ENSG00000275995	1.3792922544726756
ENSG00000279229	RASD2	1.3792922544726756
ENSG00000279229	ENSG00000279669	1.3792922544726756
ENSG00000279229	ACVR1C	1.3792922544726756
ENSG00000279229	ENSG00000278959	1.3792922544726756
ENSG00000279229	ENSG00000280205	1.3792922544726756
ENSG00000279229	HKDC1	1.3792922544726756
ENSG00000279229	ENSG00000218313	1.3792922544726756
ENSG00000279229	ENSG00000274038	1.3792922544726756
ENSG00000279229	ENSG00000275576	1.3792922544726756
ENSG00000280205	ENSG00000259594	1.3792922544726756
ENSG00000280205	ASS1P12	1.2293362159076602
ENSG00000280205	PLPPR1	1.3792922544726756
ENSG00000280205	CDX1	1.3792922544726756
ENSG00000280205	TEX12	1.2293362159076602
ENSG00000280205	ENSG00000228175	1.2293362159076602
ENSG00000280205	ENSG00000250934	1.3792922544726756
ENSG00000280205	ADRA1B	1.3792922544726756
ENSG00000280205	CPLX2	1.3792922544726756
ENSG00000280205	ENSG00000224442	1.3792922544726756
ENSG00000280205	RPL17P22	1.2293362159076602
ENSG00000280205	ENSG00000278915	1.3792922544726756
ENSG00000280205	AK3P3	1.2293362159076602
ENSG00000280205	ENSG00000235347	1.3792922544726756
ENSG00000280205	ENSG00000232022	1.3792922544726756
ENSG00000280205	MIR6124	1.3792922544726756
FOLR3	ENSG00000261671	1.2293362159076602
