gene	module	module_membership	kWithin	kTotal	kWithin_quantile	is_hub
AC010609.1	blue	0.960354738597443	141.237882911592	165.136615854403	0.963123644251627	TRUE
AKTIP	blue	0.943692045902076	140.948073697572	183.054038875878	0.962039045553145	TRUE
ENOSF1	blue	0.956416421220797	140.583063873344	166.473205811269	0.960954446854664	TRUE
ZNF101	blue	0.956034270995573	140.419932798097	208.198116072358	0.959869848156182	TRUE
LINC00649	blue	0.891672504714346	140.027882814895	162.323853785462	0.958785249457701	TRUE
LEF1	blue	0.87536623905517	139.950460306378	165.470347499576	0.957700650759219	TRUE
CATSPERB	blue	0.93014805533476	139.861309480041	177.283400814587	0.956616052060738	TRUE
SKAP1	blue	0.934810916473942	138.75025267076	201.541504293042	0.955531453362256	TRUE
NELL2	blue	0.892577036081409	138.655455055277	159.478137832537	0.954446854663774	TRUE
CD2	blue	0.93053206194551	138.302357860814	163.112465544758	0.953362255965293	TRUE
SFI1	blue	0.982608731514402	137.955422853335	231.986230076338	0.952277657266811	TRUE
HIVEP2	blue	0.93505101488139	137.627828929801	174.832595003167	0.95119305856833	TRUE
UBASH3A	blue	0.910624575087697	136.997071470814	161.214645101954	0.950108459869848	TRUE
INPP4B	blue	0.917094691580466	136.982860004248	161.045052288816	0.949023861171367	TRUE
LINC01934	blue	0.912638936920153	136.436596263711	170.683173328988	0.947939262472885	TRUE
NDFIP1	blue	0.846167847549976	136.175039420147	174.10795898956	0.946854663774403	TRUE
ECHDC2	blue	0.931165448769676	135.914002277178	191.974465954532	0.945770065075922	TRUE
TRAT1	blue	0.890421772833613	135.494525425373	155.397317566705	0.94468546637744	TRUE
CD28	blue	0.898289004905674	135.432570911056	157.768493357637	0.943600867678959	TRUE
PRKCQ-AS1	blue	0.902563564220674	134.516572143295	160.159356113396	0.942516268980477	TRUE
NDUFV2-AS1	blue	0.919889474311037	133.886420727021	180.831092303791	0.941431670281996	TRUE
NCK2	blue	0.910456992482099	133.886346643944	166.857735298053	0.940347071583514	TRUE
TRABD2A	blue	0.832982145409908	132.985868968978	163.110053301732	0.939262472885033	TRUE
TENM1	blue	0.887125672748782	132.502231258901	159.787627219068	0.938177874186551	TRUE
LINC00861	blue	0.936984993353557	132.343027251461	161.324180550487	0.937093275488069	TRUE
GIMAP5	blue	0.910066045582804	131.435200962937	157.821076753646	0.936008676789588	TRUE
PRKCQ	blue	0.968641507321726	131.086761152204	153.056572421895	0.934924078091106	TRUE
ANKH	blue	0.951513261632017	130.985258488624	189.453401787355	0.933839479392625	TRUE
TRAF1	blue	0.819322216651839	130.872319260342	158.69978055403	0.932754880694143	TRUE
BCL9L	blue	0.94822132065571	130.598165608568	161.197132263715	0.931670281995662	TRUE
NMT2	blue	0.907305208159222	130.510536292555	189.02264067157	0.93058568329718	TRUE
GPR171	blue	0.81884860066691	130.365079501247	159.644634584654	0.929501084598699	TRUE
HMCES	blue	0.940895017058719	130.336283384079	197.730534390161	0.928416485900217	TRUE
AL353660.1	blue	0.878195681906549	130.246597383973	159.65783151056	0.927331887201735	TRUE
NCMAP-DT	blue	0.883991398452594	129.552733622784	150.231042460576	0.926247288503254	TRUE
SH3YL1	blue	0.893417521259215	129.027002438458	190.139795992174	0.925162689804772	TRUE
RADX	blue	0.885891006925103	128.883602838379	162.75812124497	0.924078091106291	TRUE
PRKY	blue	0.941400338912627	128.766611216408	160.074679655402	0.922993492407809	TRUE
LINC01550	blue	0.874327863164551	128.631932215771	151.2496353223	0.921908893709328	TRUE
APBA2	blue	0.890939985853787	128.322407558254	163.421969828461	0.920824295010846	TRUE
LCK	blue	0.964344445389146	127.103636180331	147.154466075526	0.919739696312364	TRUE
STN1	blue	0.93914727145602	126.579134258261	185.952936230343	0.918655097613883	TRUE
SKAP1-AS1	blue	0.919150739563752	126.518767004303	162.358277695578	0.917570498915401	TRUE
SYNGAP1	blue	0.924569151977426	126.414183845974	179.235958204647	0.91648590021692	TRUE
AC010275.1	blue	0.870077987710067	126.347188377984	147.312498098449	0.915401301518438	TRUE
ANO9	blue	0.80447364369427	126.24963642002	169.341581412986	0.914316702819957	TRUE
FLT3LG	blue	0.875078903949467	126.094264214955	155.933046120748	0.913232104121475	TRUE
THRA1/BTR	blue	0.920841244208824	125.953805169051	167.394291000108	0.912147505422993	TRUE
FAAH2	blue	0.855537468283994	125.943261835784	147.823613468085	0.911062906724512	TRUE
HELB	blue	0.911054043070008	125.69318939949	182.384607719508	0.90997830802603	TRUE
CCSER2	blue	0.924938497822391	125.165896186809	186.304762998819	0.908893709327549	TRUE
TRAC	blue	0.870726077206265	124.897584526182	146.892818207806	0.907809110629067	TRUE
CD3G	blue	0.858542151021299	124.496513044434	146.772346693162	0.906724511930586	TRUE
FAM122C	blue	0.913431736341866	123.923651303732	159.207863823505	0.905639913232104	TRUE
CNOT6L	blue	0.944516084779057	123.912221895493	201.98009266535	0.904555314533623	TRUE
THEMIS	blue	0.890100287625703	123.769913974279	143.352337678022	0.903470715835141	TRUE
LINC00402	blue	0.843427899675452	123.068912568814	146.836048542395	0.902386117136659	TRUE
PLEKHA1	blue	0.933766524344388	122.966683681194	176.118973433846	0.901301518438178	TRUE
ITPKB	blue	0.875133311146664	122.468815314422	151.338248945016	0.900216919739696	TRUE
PATJ	blue	0.866351405166093	121.611017320889	158.106062523176	0.899132321041215	TRUE
DGKA	blue	0.878799998073307	121.461192409776	146.652150157569	0.898047722342733	TRUE
ARHGEF3	blue	0.923598841477955	121.403775852301	156.989166714757	0.896963123644252	TRUE
PRKCH	blue	0.916825256460193	121.226182552677	145.27859129377	0.89587852494577	TRUE
TRBC1	blue	0.882780545739189	120.956018741396	151.85381496731	0.894793926247288	TRUE
DENND2D	blue	0.865961327432733	119.896464677928	152.435076215434	0.893709327548807	TRUE
MTFR1	blue	0.929133881881238	119.872668080701	189.878418827928	0.892624728850325	TRUE
UXS1	blue	0.912045662486889	119.867656018586	167.77097557327	0.891540130151844	TRUE
SBK1	blue	0.805445343574862	119.239425284408	153.222081658598	0.890455531453362	TRUE
NR3C2	blue	0.863894826694305	119.194246268976	150.379056837574	0.889370932754881	TRUE
LINS1	blue	0.857859878713706	118.96309326587	139.354672114319	0.888286334056399	TRUE
CLYBL	blue	0.871226910385986	118.657929174918	158.875157845121	0.887201735357918	TRUE
ITGA6	blue	0.912904076006659	118.609968181262	175.094780823695	0.886117136659436	TRUE
SERINC5	blue	0.908268904357766	118.36661762703	136.681668494724	0.885032537960954	TRUE
DNAJB1	blue	0.880425699750204	118.344320024642	143.726821073599	0.883947939262473	TRUE
RCAN3AS	blue	0.849150582853289	118.150187286641	155.510815916292	0.882863340563991	TRUE
NOSIP	blue	0.858965664668749	117.617972072314	148.958595730139	0.88177874186551	TRUE
CD3E	blue	0.860337395400454	117.471735683244	145.117010274094	0.880694143167028	TRUE
ZNF831	blue	0.903727735359973	117.467412936437	140.484669668156	0.879609544468547	TRUE
TNRC6C-AS1	blue	0.926632469525604	116.884630345965	188.253378668095	0.878524945770065	TRUE
