"id","module"
"AL158212.2","blue"
"ENO4","blue"
"SHTN1","blue"
"CHST15","blue"
"CTBP2","blue"
"PTPRE","blue"
"VENTX","blue"
"IFITM3","blue"
"TALDO1","blue"
"CD151","blue"
"TSPAN4","blue"
"CTSD","blue"
"TNNI2","blue"
"ASCL2","blue"
"CDKN1C","blue"
"AC107884.1","blue"
"DENND5A","blue"
"SWAP70","blue"
"MICAL2","blue"
"FAR1","blue"
"ANO5","blue"
"LGR4","blue"
"PRRG4","blue"
"HIPK3","blue"
"LMO2","blue"
"CAT","blue"
"LDLRAD3","blue"
"PRR5L","brown"
"AMBRA1","turquoise"
"SPI1","blue"
"AC090559.1","blue"
"FNBP4","turquoise"
"CTNND1","blue"
"AP001636.3","yellow"
"MPEG1","blue"
"STX3","blue"
"MS4A6A","blue"
"MS4A4A","blue"
"MS4A4E","blue"
"MS4A6E","blue"
"MS4A7","blue"
"MS4A14","blue"
"MS4A1","yellow"
"SLC15A3","blue"
"VPS37C","blue"
"FADS1","blue"
"BEST1","blue"
"FTH1","blue"
"RTN3","blue"
"SF1","turquoise"
"NEAT1","blue"
"EHBP1L1","blue"
"FOSL1","blue"
"CATSPER1","blue"
"GSTP1","blue"
"ALDH3B1","blue"
"CHKA","blue"
"TPCN2","blue"
"FOLR3","blue"
"PDE2A","blue"
"ARAP1","blue"
"P2RY6","blue"
"AP000763.3","blue"
"KCNE3","blue"
"DGAT2","blue"
"ACER3","blue"
"PAK1","blue"
"RSF1","turquoise"
"GAB2","blue"
"AP003086.1","blue"
"LINC02728","blue"
"PRCP","blue"
"PRSS23","brown"
"SMCO4","blue"
"PIWIL4","blue"
"PDGFD","brown"
"CASP1","blue"
"RAB39A","blue"
"ZC3H12C","blue"
"POU2AF1","green"
"NCAM1","brown"
"FXYD6","blue"
"JAML","blue"
"OAF","blue"
"GRAMD1B","blue"
"NRGN","blue"
"SLC37A2","blue"
"APLP2","blue"
"ST14","blue"
"LTBR","blue"
"GPR162","blue"
"CD163","blue"
"C3AR1","blue"
"CLEC4A","blue"
"AC092745.5","blue"
"LINC00937","blue"
"CLEC4D","blue"
"CLEC4E","blue"
"KLRF1","brown"
"CLEC12A","blue"
"CLEC1B","blue"
"CLEC12B","blue"
"CLEC7A","blue"
"OLR1","blue"
"TMEM52B","blue"
"KLRD1","brown"
"KLRC4","brown"
"KLRC3","brown"
"KLRC2","brown"
"KLRC1","brown"
"YBX3","blue"
"HEBP1","blue"
"PLBD1","blue"
"MGST1","blue"
"GOLT1B","turquoise"
"SOX5","yellow"
"BCAT1","blue"
"SSPN","green"
"STK38L","blue"
"DENND5B","green"
"FGD4","blue"
"CPNE8","blue"
"LRRK2","blue"
"PRICKLE1","blue"
"VDR","blue"
"AC024257.1","blue"
"NCKAP5L","blue"
"AC025259.3","blue"
"NFE2","blue"
"ZNF385A","blue"
"PDE1B","blue"
"LRP1","blue"
"STAC3","blue"
"PPM1H","blue"
"GNS","blue"
"IRAK3","blue"
"IFNG","brown"
"CPM","blue"
"LYZ","blue"
"AC020656.1","blue"
"TBC1D15","turquoise"
"GLIPR1","blue"
"LIN7A","blue"
"TMTC2","blue"
"DUSP6","blue"
"ATP2B1","blue"
"ATP2B1-AS1","blue"
"LINC02397","green"
"PLXNC1","blue"
"TMCC3","blue"
"FGD6","blue"
"HAL","blue"
"LTA4H","blue"
"APAF1","blue"
"GAS2L3","blue"
"DRAM1","blue"
"NFYB","turquoise"
"CKAP4","blue"
"CMKLR1","blue"
"SART3","turquoise"
"CORO1C","blue"
"SSH1","blue"
"HVCN1","blue"
"SH2B3","blue"
"ALDH2","blue"
"TESC","blue"
"RNF10","turquoise"
"P2RX7","blue"
"CAMKK2","blue"
"RSRC2","turquoise"
"AC026333.3","blue"
"HCAR2","blue"
"HCAR3","blue"
"RILPL2","blue"
"SCARB1","blue"
"AC007368.1","yellow"
"GLT1D1","blue"
"ADGRD1","blue"
"MMP17","blue"
"PSPC1","turquoise"
"LATS2","blue"
"FLT3","blue"
"FLT1","blue"
"FRY","blue"
"STARD13","blue"
"LACC1","blue"
"RUBCNL","blue"
"CYSLTR2","blue"
"ARL11","blue"
"DLEU2","blue"
"WDFY2","blue"
"DACH1","blue"
"KCTD12","blue"
"UGGT2","blue"
"ARGLU1","turquoise"
"TNFSF13B","blue"
"AL163541.1","blue"
"RAB20","blue"
"ATP11A","blue"
"RNASE4","blue"
"RNASE6","blue"
"RNASE2","blue"
"ARHGEF40","blue"
"TRDC","brown"
"SLC7A7","blue"
"GZMH","brown"
"HECTD1","turquoise"
"FBXO33","turquoise"
"PYGL","blue"
"PTGDR","brown"
"SAMD4A","blue"
"LGALS3","blue"
"AL158801.2","blue"
"PELI2","blue"
"LINC02284","blue"
"RTN1","blue"
"ZBTB1","turquoise"
"MAX","turquoise"
"AL355076.2","yellow"
"SIPA1L1","blue"
"PSEN1","blue"
"NUMB","blue"
"AC005280.2","blue"
"JDP2","blue"
"FLVCR2","blue"
"VASH1","blue"
"KCNK13","blue"
"NRDE2","turquoise"
"SLC24A4","blue"
"ITPK1","blue"
"SERPINA1","blue"
"CLMN","blue"
"AL157871.4","blue"
"WARS","blue"
"TNFAIP2","blue"
"PLD4","blue"
"IGHA2","green"
"IGHG4","green"
"IGHG2","green"
"IGHGP","green"
"IGHA1","green"
"IGHG1","green"
"IGHG3","green"
"IGHD","yellow"
"IGHM","green"
"FAM30A","green"
"CYFIP1","blue"
"FMN1","blue"
"SPRED1","blue"
"THBS1","blue"
"AC037198.1","blue"
"BMF","blue"
"SPINT1","blue"
"CHP1","blue"
"UBR1","turquoise"
"AC025580.2","blue"
"ATP8B4","blue"
"TRPM7","turquoise"
"AC066613.2","blue"
"DMXL2","blue"
"TCF12","turquoise"
"LINC00926","yellow"
"POLR2M","turquoise"
"ALDH1A2","blue"
"AQP9","blue"
"MYO1E","blue"
"ANXA2","blue"
"LACTB","blue"
"OAZ2","blue"
"CALML4","blue"
"CTSH","blue"
"BCL2A1","blue"
"TM6SF1","blue"
"ANPEP","blue"
"ARPIN","blue"
"ZNF710","blue"
"AC124248.1","blue"
"FES","blue"
"AC106028.4","blue"
"ARRDC4","blue"
"LRRK1","blue"
"SNRPA1","turquoise"
"MSRB1","blue"
"MEFV","blue"
"ROGDI","blue"
"CIITA","blue"
"TNFRSF17","green"
"CPPED1","blue"
"AC109597.1","blue"
"ITPRIPL2","blue"
"IGSF6","blue"
"TNRC6A","turquoise"
"APOBR","blue"
"CD19","yellow"
"AC009093.2","blue"
"FUS","turquoise"
"ITGAM","blue"
"ITGAX","blue"
